//X Y Z R G B
50248
-0.67825311 -3.4417541 -5.05708408 0 0 95
-1.13202548 -4.91719913 -5.05501366 0 0 133
-1.12282407 -4.90103006 -5.05429983 0 0 135
-1.06902909 -3.26371598 -5.06296396 0 0 151
-1.05273926 -3.26331949 -5.06347942 0 0 143
-1.3757112 -3.65347171 -5.06193972 0 0 112
-0.96584111 -0.77276635 -5.06411982 69 0 0
-1.06765342 -0.78742588 -5.06958866 0 0 150
-0.761531 -4.5140996 -5.0593071 0 0 141
-1.0389359 -0.79539448 -5.06816292 0 0 147
-0.69307238 -3.53914285 -5.0622921 0 0 150
-1.01038182 -3.27206564 -5.0609355 0 0 132
-1.01341057 -0.78694052 -5.0686698 0 0 139
-1.01573312 -3.30329704 -5.05825233 59 0 0
-1.13118696 -3.7026372 -5.0612483 0 0 146
-0.98175699 -4.57783842 -5.0565486 0 0 121
-0.97941703 -3.34293795 -5.06178331 0 0 144
-0.7237438 -4.79519129 -5.05432129 0 0 61
-0.95266807 -0.80480409 -5.06916809 0 0 140
-1.13296568 -3.78534365 -5.06126642 0 0 126
-0.91022044 -4.61753035 -5.05652761 0 0 78
-1.11776364 -3.75665164 -5.05908632 0 0 111
-0.62692726 -3.37114692 -5.06159496 0 0 157
-1.13269842 -3.39135122 -5.06185961 0 0 141
-0.9006573 -4.54982281 -5.05522108 0 0 141
-0.97098166 -4.61134624 -5.05766487 0 0 120
-0.92315054 -0.80059493 -5.06727266 0 0 134
-1.09549689 -3.79700375 -5.05871248 0 0 144
-0.59927261 -3.38711953 -5.06129694 0 0 151
-0.99119514 -4.65148401 -5.05808449 0 0 139
-0.73238415 -4.84504938 -5.05390406 132 0 0
-0.71599483 -4.82730436 -5.05592299 134 0 0
-1.07687712 -3.66744876 -5.06127024 0 0 142
-0.57780343 -3.39749622 -5.05987215 0 0 153
-1.267483 -3.64153242 -5.05541611 119 0 0
-0.78559142 -0.78636372 -5.06566811 0 0 148
-1.23592675 -3.63650417 -5.0590682 87 0 0
-0.75118613 -0.81109303 -5.06709862 0 0 144
-1.20695579 -3.63822889 -5.06141996 0 0 119
-0.52921808 -3.38201189 -5.06097364 0 0 142
-0.71686077 -4.88496065 -5.05720043 0 0 140
-0.71201789 -0.81917202 -5.06733656 0 0 143
-1.29900742 -3.71765566 -5.05770493 0 0 96
-0.60539752 -3.54457355 -5.05978966 0 0 152
-0.98670208 -4.65829039 -5.05758286 0 0 127
-0.73976636 -4.92755842 -5.05721283 0 0 112
-0.94169319 -4.67647648 -5.05741787 0 0 140
-1.26896286 -3.29947472 -5.06389475 0 0 127
-0.38243145 -3.58473754 -5.05783939 0 0 115
-0.71361613 -4.9397459 -5.05311155 0 0 107
-1.23262799 -3.29971218 -5.06270981 0 0 97
-1.65655684 -6.29150867 -5.05325365 0 0 145
-1.02279079 -3.76466179 -5.05916882 0 0 136
-1.44479299 -1.0549804 -5.06772184 0 0 115
-1.41849959 -1.05010688 -5.06644917 82 0 0
-1.41324806 -1.07350516 -5.06229877 116 0 0
-1.05989647 -3.39445925 -5.05895138 73 0 0
-1.58621967 -1.23138368 -5.06677151 0 0 121
-0.70932066 -3.75495815 -5.06197834 0 0 116
-1.0722903 -3.46017241 -5.0588026 69 62 69
-1.36380458 -3.80640101 -5.06023598 161 0 0
-0.89415795 -4.68428135 -5.05788136 0 0 144
-0.75628018 -3.82448196 -5.06031275 0 0 140
-1.15253639 -3.91420865 -5.05892992 0 0 137
-1.17650425 -3.94448304 -5.05360079 110 0 0
-1.10138214 -3.53022456 -5.06038284 0 0 148
-0.71050477 -3.86367273 -5.048316 108 0 0
-1.62071621 -1.29831553 -5.06535578 0 0 133
-0.74613929 -3.8842907 -5.05945873 0 0 140
-0.8167901 -4.50362206 -5.05727434 0 0 140
-1.4404614 -3.97398138 -5.06052876 0 0 151
-1.65628183 -6.60400343 -5.05097628 0 0 129
-0.71599913 -3.90778852 -5.06017303 0 0 120
-1.49209225 -1.12678909 -5.06601095 0 0 129
-1.64911652 -6.82030296 -5.05083179 0 0 136
-1.05662942 -3.5775156 -5.05755281 0 0 79
-1.65932238 -6.8737278 -5.04809713 0 0 130
-1.32743263 -3.96605515 -5.05982971 0 0 105
-0.72006124 -3.98965335 -5.06118679 0 0 128
-0.82235175 -4.6203413 -5.05721331 0 0 137
-1.28035641 -3.84920502 -5.0566287 127 0 0
-0.91378206 -3.24762082 -5.061203 0 0 129
-1.50652385 -1.18972099 -5.06706381 0 0 138
-1.2791965 -3.86002111 -5.05681896 119 0 0
-0.71645951 -4.02226448 -5.05952168 0 0 125
-1.48002613 -1.16169322 -5.0672574 0 0 146
-1.04513633 -3.89477372 -5.06012583 0 0 136
-1.26239276 -3.81677628 -5.0567193 98 0 0
-1.25478792 -3.83535433 -5.05564737 0 0 82
-1.26189303 -3.8406496 -5.05638695 0 0 69
-1.05537009 -3.88846469 -5.06113338 0 0 122
-1.50321984 -1.20364237 -5.06699848 0 0 135
-0.78904158 -4.66744184 -5.05756187 0 0 140
-1.4733566 -1.20966828 -5.0674634 0 0 125
-1.29034066 -3.50738955 -5.0583272 105 0 0
-1.43436933 -1.15432692 -5.06736183 0 0 124
-1.47968924 -1.15207267 -5.06665516 0 0 144
-0.37594196 -3.6236558 -5.0613699 0 0 168
-0.37510377 -3.61543202 -5.06143713 0 0 158
-0.9336707 -3.34111238 -5.05856323 0 0 73
-0.39884776 -3.63038731 -5.05978441 0 0 157
-0.92209309 -4.83247566 -5.05410242 113 0 0
-1.45299566 -1.20264506 -5.06387711 0 0 128
-0.98094153 -4.88360167 -5.05389309 0 0 99
-1.40743411 -1.26693952 -5.06908131 0 0 149
-0.33692077 -3.6655848 -5.05913639 0 0 147
-0.88032234 -3.35088515 -5.06115675 0 0 136
-0.81189817 -3.65500307 -5.06041145 0 0 147
-0.90550947 -4.83785629 -5.05475855 0 0 112
-0.85961086 -3.23297834 -5.05808544 107 0 0
-1.66180897 -4.09712076 -5.05623579 124 0 0
-1.35531008 -0.9437241 -5.06884766 0 0 118
-0.93090504 -4.90840912 -5.05678606 0 0 100
-0.82358849 -3.72381949 -5.05648708 129 0 0
-1.36643517 -1.00046313 -5.06779432 0 0 130
-0.76705837 -4.8074851 -5.05883503 0 0 138
-0.98426837 -3.37145233 -5.06095457 111 0 0
-0.97622544 -3.365628 -5.06114626 83 0 0
-0.75874299 -4.4182291 -5.0580411 0 0 149
-0.7398563 -4.42811394 -5.05973959 0 0 109
-0.79635459 -3.77840662 -5.05824423 0 0 149
-0.82961076 -4.94507742 -5.05384016 0 0 108
-0.70238662 -4.44892788 -5.05045748 87 0 0
-1.38038051 -4.09755373 -5.0583005 0 0 122
-0.81905133 -3.80950379 -5.05711889 0 0 78
-0.85114884 -3.872365 -5.05978727 0 0 137
-1.36404014 -4.1214242 -5.05789566 0 0 141
-1.4265238 -4.15345955 -5.0577178 0 0 158
-1.41683733 -4.18475246 -5.05952692 0 0 143
-0.80334765 -3.85359907 -5.05836439 0 0 110
-0.79279345 -3.87508225 -5.05756617 0 0 140
-1.53921318 -4.55640316 -5.05718422 0 0 131
-0.82042068 -3.89570975 -5.05958033 0 0 136
-0.91754436 -3.53036356 -5.06097221 0 0 148
-0.88122159 -3.48978043 -5.0581913 0 0 87
-1.39775944 -4.30984211 -5.05742073 0 0 134
-0.87102431 -3.50905466 -5.06056356 0 0 117
-1.40327549 -4.3173542 -5.05733967 0 0 136
-1.13465428 -4.48609447 -5.05697298 0 0 156
-1.66563714 -6.26386738 -5.05359936 0 0 143
-1.66728199 -6.27405882 -5.0526638 0 0 130
-1.64539218 -6.24720144 -5.05248976 0 0 111
-0.76621938 -3.46148896 -5.06032419 0 0 130
-1.54914105 -6.14525366 -5.05207682 0 0 133
-0.83670837 -3.52479959 -5.05246925 100 0 0
-1.03216386 -4.41138601 -5.05672646 0 0 139
-1.41487706 -5.92729759 -5.05334663 0 0 138
-1.37400317 -1.40391135 -5.0662179 0 0 142
-1.39761174 -5.90100574 -5.05445576 0 0 140
-0.81216729 -4.40874672 -5.05709267 0 0 126
-0.79444051 -3.50861406 -5.06226444 0 0 156
-0.80382508 -3.51838756 -5.06246519 0 0 167
-0.77646887 -4.38792133 -5.05516863 0 0 140
-0.78774738 -4.49797773 -5.05819368 0 0 143
-0.72070265 -3.25206661 -5.06386232 0 0 98
-0.75366288 -3.33692932 -5.05809641 64 0 0
-1.56701481 -3.68178844 -5.054739 76 0 0
-1.57931888 -3.67628336 -5.05839062 0 0 120
-1.55168355 -3.64578295 -5.0595603 0 0 125
-1.60789835 -3.68019319 -5.05759144 100 0 0
-0.66331488 -3.27321124 -5.06300879 0 0 150
-1.57023585 -3.79848671 -5.05816317 0 0 113
-1.66310978 -3.90783644 -5.05749941 0 0 125
-0.36838606 -4.34429741 -5.05414057 0 0 145
-0.84560561 -3.83910942 -5.05606031 73 0 0
-1.59493971 -6.11906672 -5.04920006 108 0 0
-0.52903098 -1.49613881 -5.06343842 0 0 132
-1.64021122 -6.77737951 -5.04987097 0 0 132
-0.23270211 -3.81254768 -5.05708933 0 0 134
-1.07103395 -1.24251461 -5.06351995 0 0 140
-1.64389014 -6.80704689 -5.04879045 0 0 121
-1.1538595 -0.77417845 -5.06801319 0 0 109
-1.47635555 -3.89106321 -5.05447531 0 0 80
-1.52417517 -3.95062542 -5.05704117 0 0 86
-1.59690392 -6.23563766 -5.05107927 0 0 112
-0.22738323 -4.06844234 -5.05699444 0 0 121
-1.63984132 -6.93304777 -5.05020857 0 0 135
-1.07804787 -0.8191815 -5.06782436 0 0 139
-1.49230075 -4.03599548 -5.05581808 156 0 0
-1.1545577 -4.37888384 -5.05663586 0 0 146
-1.52841783 -6.08868694 -5.05099773 0 0 133
-1.4673202 -4.05015707 -5.0541048 117 0 0
-0.93053919 -1.06563926 -5.06547976 0 0 141
-1.21395624 -4.40870571 -5.05628777 0 0 151
-1.51945114 -7.0127039 -5.04762125 0 0 135
-1.20450819 -3.34379101 -5.05528831 64 0 0
-0.93316162 -1.09590638 -5.06605577 0 0 135
-0.20823695 -4.25869656 -5.05225039 92 0 0
-1.52741134 -7.03159237 -5.04949236 0 0 140
-1.01669919 -0.82779282 -5.06734562 0 0 134
-1.52271914 -7.06053066 -5.04982185 0 0 138
-0.92006767 -1.07260048 -5.06575108 0 0 131
-1.46527505 -6.10158396 -5.04938221 0 0 133
-0.89897746 -1.11184418 -5.06467247 0 0 144
-1.01059413 -0.82558221 -5.06814432 0 0 147
-1.36505198 -3.46404457 -5.06166124 110 0 0
-0.72340417 -1.05190814 -5.06164646 0 0 148
-1.50764811 -7.03790188 -5.04884768 0 0 139
-1.11032176 -4.43195868 -5.05100346 117 0 0
