//X Y Z R G B Nx Ny Nz
50000
-0.01683358 7.14482880 5.32060099 0 0 0 -0.999999 0.000978 0.000978
-3.34242654 11.46491623 10.58309841 0 0 0 0.000978 0.999999 0.000978
-5.63570070 9.84531498 6.40474987 0 0 0 0.000978 0.000978 0.999999
-1.16321301 6.12359810 8.06377125 0 0 0 0.000978 0.999999 0.000978
-0.26230305 6.87455654 10.12172604 0 0 0 0.006161 -0.304368 0.952535
-4.88393688 8.98238945 10.75547600 0 0 0 0.000978 0.000978 0.999999
-4.51448679 11.30637074 9.85128021 0 0 0 -0.406019 0.913864 0.001289
-0.31185222 6.80183363 10.12277031 0 0 0 -0.121012 -0.293886 0.948149
-5.42410755 9.73914242 10.79076958 0 0 0 0.000978 0.000978 -0.999999
-4.87210560 9.48572540 10.78226280 0 0 0 0.977134 -0.212622 0.001162
-5.44337988 9.87270737 8.55986023 0 0 0 0.000978 -0.999999 0.000978
-0.01925659 6.40178728 9.15057945 0 0 0 -0.999999 0.000978 0.000978
-3.24054980 6.10574293 10.79645157 0 0 0 0.024435 0.997599 0.064807
-5.30429316 9.87270641 5.25375032 0 0 0 0.000978 -0.999999 0.000978
-3.70853233 10.08173180 6.52392864 0 0 0 0.000978 -0.999999 0.000978
-2.90843415 6.65618610 10.32251835 0 0 0 0.000978 -0.999999 0.000978
-2.04273748 11.45760345 5.39264631 0 0 0 0.000978 0.000978 -0.999999
-3.11148524 7.83634663 6.00515652 0 0 0 0.000978 0.000978 0.999999
0.02492834 8.69371986 9.09750462 0 0 0 0.001162 0.212622 0.977134
-1.05658674 11.45840263 8.08917809 0 0 0 0.000978 -0.999999 0.000978
-5.21107864 7.11450481 6.00515461 0 0 0 0.000978 0.000978 0.999999
-3.95753312 6.10574293 10.66905403 0 0 0 0.028064 0.998866 0.038458
-4.40790892 8.78095531 10.79077053 0 0 0 0.000978 0.000978 -0.999999
-0.26676697 7.80875015 10.37235737 0 0 0 0.940317 -0.029425 0.339026
-1.73597169 6.63179111 8.41725159 0 0 0 0.000978 0.999999 0.000978
-0.75036299 9.63070011 10.79077435 0 0 0 0.000978 0.000978 -0.999999
-2.24320745 11.45840263 6.99129772 0 0 0 0.000978 -0.999999 0.000978
0.08316748 8.88661289 4.88876820 0 0 0 0.999999 0.000978 0.000978
-4.02496052 11.45840263 7.14580536 0 0 0 0.000978 -0.999999 0.000978
-1.26439714 10.08173180 6.46348476 0 0 0 0.000978 -0.999999 0.000978
-2.52659798 11.45840263 9.05051136 0 0 0 0.000978 -0.999999 0.000978
-2.47816133 6.12363148 10.32636642 0 0 0 0.000978 0.999999 0.000978
-2.36614275 8.61480618 6.00376225 0 0 0 0.000978 0.000978 -0.999999
0.03315006 8.92838764 7.71605730 0 0 0 0.001162 -0.212622 -0.977134
0.01438252 8.60578346 6.02542400 0 0 0 0.000978 0.999999 0.000978
-4.62904263 6.10574293 4.64740658 0 0 0 0.052334 0.994344 -0.092419
-0.20086820 6.47973299 10.02050495 0 0 0 0.000978 0.000978 -0.999999
-3.91259646 11.45840263 9.05158234 0 0 0 0.000978 -0.999999 0.000978
-0.19613600 6.10574293 8.81173038 0 0 0 -0.060442 0.997820 0.026510
-3.96476650 10.08173180 6.11644316 0 0 0 0.000978 -0.999999 0.000978
-3.17856574 11.45840263 10.25232983 0 0 0 0.000978 -0.999999 0.000978
-0.99977386 9.97648621 5.93705082 0 0 0 0.000978 0.000978 0.999999
-0.01925433 8.19291210 9.31404114 0 0 0 -0.999999 0.000978 0.000978
0.01790934 9.77673340 10.13005733 0 0 0 0.001162 -0.212622 0.977134
0.06094169 9.39461136 6.14099216 0 0 0 0.000978 0.000978 -0.999999
0.08312200 9.20189476 10.61768341 0 0 0 -0.999999 0.000978 0.000978
